('http://www.cnblogs.com/wanghaining/', '[雨吹桐]')
('http://www.cnblogs.com/xueweihan/', '[削微寒]')
('http://www.cnblogs.com/VideoCloudTech/', '[阿里云视频云]')
('http://www.cnblogs.com/bigdatalearnshare/', '[大数据学习与分享]')
('http://www.cnblogs.com/echoyya/', '[Echoyya、]')
('http://www.cnblogs.com/amap_tech/', '[高德技术]')
('http://www.cnblogs.com/light0011/', '[码农小说家]')
('http://www.cnblogs.com/Damaer/', '[第十六封]')
('http://www.cnblogs.com/kele-develop/', '[kele是可乐呀]')
('http://www.cnblogs.com/huaweiyun/', '[华为云开发者社区]')
('http://www.cnblogs.com/ideal-20/', '[BWH_Steven]')
('http://www.cnblogs.com/zhxdick/', '[干货满满张哈希]')
('http://www.cnblogs.com/strick/', '[咖啡机（K.F.J）]')
('http://www.cnblogs.com/miki-peng/', '[miki_peng]')
('http://www.cnblogs.com/chiaki/', '[Chiakiiii]')
('http://www.cnblogs.com/whgk/', '[有梦想的老王]')
('http://www.cnblogs.com/sheng_chao/', '[sheng.chao]')
('http://www.cnblogs.com/liang24/', '[大杂草]')
('http://www.cnblogs.com/PythonLearner/', '[忽逢桃林]')
('http://www.cnblogs.com/yan7/', '[莫问今朝·]')
('http://www.cnblogs.com/hhhnicvscs/', '[码农译站]')
('http://www.cnblogs.com/wuchangjian/', '[哪些年那些事]')
('http://www.cnblogs.com/vivotech/', '[vivo互联网技术]')
('http://www.cnblogs.com/pengdai/', '[pdai]')
('http://www.cnblogs.com/guguguhuha/', '[guguguhuha]')
('http://www.cnblogs.com/foxhappy/', '[三十三重天]')
('http://www.cnblogs.com/noluye/', '[何雨龙]')
('http://www.cnblogs.com/rossiXYZ/', '[罗西的思考]')
('http://www.cnblogs.com/zjz-819823900/', '[匡吉]')
('http://www.cnblogs.com/zhujiqian/', '[朱季谦]')
('http://www.cnblogs.com/suyuanli/', '[Mr.苏]')
('http://www.cnblogs.com/luciochn/', '[Mr_ηobody]')
('http://www.cnblogs.com/wanghaining/', '[雨吹桐]')
('http://www.cnblogs.com/liwei0526vip/', '[肖邦linux]')
('http://www.cnblogs.com/sheng-sjk/', '[小小程序员_sjk]')
('http://www.cnblogs.com/cg-ww/', '[炒焖煎糖板栗]')
('http://www.cnblogs.com/y0011/', '[科技圈小透明]')
('http://www.cnblogs.com/chenqionghe/', '[雪山飞猪]')
('http://www.cnblogs.com/codesee/', '[编码者频道]')
('http://www.cnblogs.com/iFrank/', '[流星斩月]')
('http://www.cnblogs.com/songyao666/', '[逐梦song]')
('http://www.cnblogs.com/RioTian/', '[RioTian]')
('http://www.cnblogs.com/jiaolian/', '[叫练]')
('http://www.cnblogs.com/xueyubao/', '[Tuzilow]')
('http://www.cnblogs.com/lulight/', '[路边两盏灯]')
('http://www.cnblogs.com/kunger/', '[kunger]')
('http://www.cnblogs.com/zhouyu629/', '[zhouyu]')
('http://www.cnblogs.com/Howinfun/', '[不送花的程序猿]')
('http://www.cnblogs.com/lizhuming/', '[李柱明]')
('http://www.cnblogs.com/tester2test/', '[测试者家园]')
('http://www.cnblogs.com/ZhuChangwu/', '[赐我白日梦]')
('http://www.cnblogs.com/xumengxuan/', '[蚊子博客]')
('http://www.cnblogs.com/showly/', '[龙旋之谷]')
('http://www.cnblogs.com/-pdd/', '[鹏多多]')
('http://www.cnblogs.com/burc/', '[柏成]')
('http://www.cnblogs.com/mingyueyy/', '[牧小农]')
('http://www.cnblogs.com/dennisj/', '[_蒋鹏飞]')
('http://www.cnblogs.com/zoule/', '[VE视频引擎]')
('http://www.cnblogs.com/pengjiali/', '[彭加李]')
('http://www.cnblogs.com/best/', '[张果]')
('http://www.cnblogs.com/mpolaris/', '[MPolaris]')
('http://www.cnblogs.com/michael9/', '[以终为始]')
('http://www.cnblogs.com/zero-zyq/', '[zero.zhang]')
('http://www.cnblogs.com/xdd666/', '[xdd666]')
('http://www.cnblogs.com/owlman/', '[凌杰]')
('http://www.cnblogs.com/ireadme/', '[码农读书]')
